ts,ws,wd
01/01/2003 00:00,6.4,79
01/01/2003 01:00,6.2,74
01/01/2003 02:00,5.9,65
01/01/2003 03:00,5.5,56
01/01/2003 04:00,5,48
01/01/2003 05:00,4.9,42
01/01/2003 06:00,4.3,34
01/01/2003 07:00,3.9,25
01/01/2003 08:00,3.9,22
01/01/2003 09:00,4,19
01/01/2003 10:00,4.2,15
01/01/2003 11:00,4.1,7
01/01/2003 12:00,4.6,2
01/01/2003 13:00,4.8,0
01/01/2003 14:00,4.8,2
01/01/2003 15:00,5,2
01/01/2003 16:00,5.1,2
01/01/2003 17:00,5,2
01/01/2003 18:00,4.8,7
01/01/2003 19:00,4.6,9
01/01/2003 20:00,4.6,7
01/01/2003 21:00,4.7,4
01/01/2003 22:00,5,358
01/01/2003 23:00,4.8,350
02/01/2003 00:00,4.7,340
02/01/2003 01:00,5,338
02/01/2003 02:00,4.9,341
02/01/2003 03:00,4.7,348
02/01/2003 04:00,4.6,353
02/01/2003 05:00,4.7,356
02/01/2003 06:00,4.9,357
02/01/2003 07:00,4.9,358
02/01/2003 08:00,5,357
02/01/2003 09:00,5,359
02/01/2003 10:00,4.9,3
02/01/2003 11:00,4.7,3
02/01/2003 12:00,4.4,1
02/01/2003 13:00,4.3,360
02/01/2003 14:00,4.5,4
02/01/2003 15:00,5.2,10
02/01/2003 16:00,5.8,13
02/01/2003 17:00,6,14
02/01/2003 18:00,5.9,15
02/01/2003 19:00,5.9,14
02/01/2003 20:00,5.9,13
02/01/2003 21:00,6,13
02/01/2003 22:00,6.3,13
02/01/2003 23:00,6.4,13
03/01/2003 00:00,6.6,13
03/01/2003 01:00,6.7,13
03/01/2003 02:00,6.7,14
03/01/2003 03:00,6.6,16
03/01/2003 04:00,6.6,18
03/01/2003 05:00,6.5,20
03/01/2003 06:00,6.5,22
03/01/2003 07:00,6.4,24
03/01/2003 08:00,6.1,25
03/01/2003 09:00,5.9,25
03/01/2003 10:00,5.6,25
03/01/2003 11:00,5.4,25
03/01/2003 12:00,5.2,26
03/01/2003 13:00,5.2,27
03/01/2003 14:00,5.1,30
03/01/2003 15:00,5.1,34
03/01/2003 16:00,5.1,37
03/01/2003 17:00,5.1,39
03/01/2003 18:00,5,39
03/01/2003 19:00,4.7,37
03/01/2003 20:00,4.3,34
03/01/2003 21:00,4,31
03/01/2003 22:00,3.6,31
03/01/2003 23:00,3.1,30
04/01/2003 00:00,2.4,12
04/01/2003 01:00,1.8,8
04/01/2003 02:00,1.1,347
04/01/2003 03:00,0.8,261
04/01/2003 04:00,1.9,219
04/01/2003 05:00,2.7,229
04/01/2003 06:00,4.3,222
04/01/2003 07:00,6.2,218
04/01/2003 08:00,7.6,211
04/01/2003 09:00,8.3,206
04/01/2003 10:00,8.5,200
04/01/2003 11:00,9.5,194
04/01/2003 12:00,10.3,192
04/01/2003 13:00,10.5,192
04/01/2003 14:00,10.3,190
04/01/2003 15:00,10.1,188
04/01/2003 16:00,9.5,184
04/01/2003 17:00,9.8,181
04/01/2003 18:00,10.5,180
04/01/2003 19:00,10.4,176
04/01/2003 20:00,9.7,170
04/01/2003 21:00,8.1,163
04/01/2003 22:00,6.4,151
04/01/2003 23:00,5.6,136
05/01/2003 00:00,5.6,124
05/01/2003 01:00,5.3,115
05/01/2003 02:00,4.9,114
05/01/2003 03:00,4.6,111
05/01/2003 04:00,3.8,110
05/01/2003 05:00,3.6,114
05/01/2003 06:00,3.8,125
05/01/2003 07:00,4.7,141
05/01/2003 08:00,5.4,149
05/01/2003 09:00,6,155
05/01/2003 10:00,6.6,160
05/01/2003 11:00,6.7,165
05/01/2003 12:00,6.6,174
05/01/2003 13:00,6.3,183
05/01/2003 14:00,6.4,192
05/01/2003 15:00,6.8,199
05/01/2003 16:00,7.3,205
05/01/2003 17:00,7.2,210
05/01/2003 18:00,5.9,218
05/01/2003 19:00,4.9,230
05/01/2003 20:00,4.3,251
05/01/2003 21:00,4.4,273
05/01/2003 22:00,4.3,289
05/01/2003 23:00,4.3,287
06/01/2003 00:00,6.4,283
06/01/2003 01:00,6.6,283
06/01/2003 02:00,7.7,279
06/01/2003 03:00,8.1,277
06/01/2003 04:00,8,276
06/01/2003 05:00,8.4,276
06/01/2003 06:00,9,270
06/01/2003 07:00,9,261
06/01/2003 08:00,8.9,255
06/01/2003 09:00,8.9,254
06/01/2003 10:00,8.2,260
06/01/2003 11:00,7.4,265
06/01/2003 12:00,6.7,272
06/01/2003 13:00,5.6,278
06/01/2003 14:00,4.1,288
06/01/2003 15:00,2.8,297
06/01/2003 16:00,1.9,298
06/01/2003 17:00,2,295
06/01/2003 18:00,2.9,304
06/01/2003 19:00,5.1,310
06/01/2003 20:00,9.7,306
06/01/2003 21:00,11.8,302
06/01/2003 22:00,13.3,303
06/01/2003 23:00,13.7,304
07/01/2003 00:00,12.3,301
07/01/2003 01:00,12.3,302
07/01/2003 02:00,12.3,304
07/01/2003 03:00,12.2,306
07/01/2003 04:00,12.1,308
07/01/2003 05:00,12.1,311
07/01/2003 06:00,12.1,313
07/01/2003 07:00,12,315
07/01/2003 08:00,11.8,316
07/01/2003 09:00,11.7,316
07/01/2003 10:00,11.7,316
07/01/2003 11:00,11.5,316
07/01/2003 12:00,11.5,316
07/01/2003 13:00,11.4,316
07/01/2003 14:00,11.3,314
07/01/2003 15:00,11,308
07/01/2003 16:00,11,301
07/01/2003 17:00,11.1,296
07/01/2003 18:00,11.2,291
07/01/2003 19:00,11.4,287
07/01/2003 20:00,11.6,284
07/01/2003 21:00,11.8,284
07/01/2003 22:00,11.7,284
07/01/2003 23:00,11.6,284
08/01/2003 00:00,10.5,282
08/01/2003 01:00,10.5,283
08/01/2003 02:00,10.5,284
08/01/2003 03:00,10.5,284
08/01/2003 04:00,10.6,283
08/01/2003 05:00,10.7,283
08/01/2003 06:00,10.7,284
08/01/2003 07:00,10.9,285
08/01/2003 08:00,11.2,287
08/01/2003 09:00,11.6,288
08/01/2003 10:00,12.3,288
08/01/2003 11:00,13,288
08/01/2003 12:00,13.5,287
08/01/2003 13:00,13.9,286
08/01/2003 14:00,13.7,286
08/01/2003 15:00,12.9,286
08/01/2003 16:00,12.1,287
08/01/2003 17:00,11.3,288
08/01/2003 18:00,10.7,289
08/01/2003 19:00,9.9,292
08/01/2003 20:00,9.3,298
08/01/2003 21:00,9.5,305
08/01/2003 22:00,10,307
08/01/2003 23:00,10.4,307
09/01/2003 00:00,10.3,309
09/01/2003 01:00,10.5,309
09/01/2003 02:00,10.3,308
09/01/2003 03:00,10.4,304
09/01/2003 04:00,10.6,301
09/01/2003 05:00,10.9,299
09/01/2003 06:00,11,298
09/01/2003 07:00,10.9,298
09/01/2003 08:00,10.7,300
09/01/2003 09:00,10.6,310
09/01/2003 10:00,9.7,326
09/01/2003 11:00,9.3,342
09/01/2003 12:00,8.2,359
09/01/2003 13:00,8.7,7
09/01/2003 14:00,8.3,8
09/01/2003 15:00,7.6,8
09/01/2003 16:00,6.8,8
09/01/2003 17:00,6.4,11
09/01/2003 18:00,5.9,18
09/01/2003 19:00,5.6,26
09/01/2003 20:00,5.5,32
09/01/2003 21:00,5.2,39
09/01/2003 22:00,5.1,44
09/01/2003 23:00,5,46
10/01/2003 00:00,4.9,46
10/01/2003 01:00,4.7,51
10/01/2003 02:00,4.3,56
10/01/2003 03:00,4.1,60
10/01/2003 04:00,3.6,61
10/01/2003 05:00,3.2,61
10/01/2003 06:00,2.6,62
10/01/2003 07:00,2.1,73
10/01/2003 08:00,1.6,108
10/01/2003 09:00,1.8,161
10/01/2003 10:00,3.2,192
10/01/2003 11:00,4.8,207
10/01/2003 12:00,5.8,212
10/01/2003 13:00,6.9,208
10/01/2003 14:00,8.1,206
10/01/2003 15:00,9.8,203
10/01/2003 16:00,11.1,206
10/01/2003 17:00,11.9,209
10/01/2003 18:00,12.7,207
10/01/2003 19:00,13.5,206
10/01/2003 20:00,14.3,211
10/01/2003 21:00,14.2,215
10/01/2003 22:00,14.4,219
10/01/2003 23:00,14.8,224
11/01/2003 00:00,15.7,229
11/01/2003 01:00,16.2,236
11/01/2003 02:00,16.2,244
11/01/2003 03:00,15.6,250
11/01/2003 04:00,15.1,256
11/01/2003 05:00,14.2,261
11/01/2003 06:00,13.4,268
11/01/2003 07:00,12.4,275
11/01/2003 08:00,11.2,278
11/01/2003 09:00,10.7,280
11/01/2003 10:00,10.2,282
11/01/2003 11:00,9.7,285
11/01/2003 12:00,9.5,289
11/01/2003 13:00,9.8,295
11/01/2003 14:00,10.4,300
11/01/2003 15:00,10.7,300
11/01/2003 16:00,11.1,299
11/01/2003 17:00,11.5,299
